user_genome	is_ani_classification	class_tree_mapped	classification_rule
ctg10973	False	7	Rule 2
ctg11788	False	6	Rule 2
ctg12678	False	backbone	Rule 1
ctg189	False	7	Rule 2
ctg20961	False	6	Rule 2
ctg23043	False	6	Rule 2
ctg24900	False	6	Rule 2
ctg252	False	6	Rule 2
ctg27923	False	6	Rule 2
ctg28199	False	7	Rule 2
ctg28959	False	7	Rule 2
ctg29087	False	6	Rule 2
ctg30452	False	7	Rule 2
ctg32511	False	2	Rule 2
ctg33210	False	6	Rule 2
ctg35447	False	6	Rule 2
ctg36361	False	6	Rule 2
ctg39969	False	6	Rule 2
ctg42170	False	6	Rule 2
ctg43093	False	6	Rule 2
ctg44129	False	7	Rule 2
ctg44955	False	6	Rule 2
ctg46359	False	7	Rule 2
ctg494	False	6	Rule 2
ctg50176	False	6	Rule 2
ctg52242	False	2	Rule 2
ctg53095	True	7	Rule 7
ctg6072	False	6	Rule 2
ctg7091	False	6	Rule 2
